Wall time,Step,Value
1580100997.5234072,387,1408.5333251953125
1580101058.4737585,775,622.360107421875
1580101119.1982238,1162,472.82928466796875
1580101180.0833025,1548,388.3978576660156
1580101241.1462593,1937,327.8740539550781
1580101301.9592898,2321,285.6522521972656
1580101362.9482477,2703,255.62599182128906
1580101423.783855,3095,234.2721405029297
1580101485.8884275,3481,215.8450469970703
1580101546.9562352,3866,200.8301239013672
1580101607.8158379,4256,188.88075256347656
1580101668.7246997,4649,179.0061798095703
1580101729.866029,5040,168.78236389160156
1580101791.3557832,5426,161.93565368652344
1580101852.2006564,5814,156.2587432861328
1580101913.434746,6200,150.44970703125
1580101974.478359,6589,145.5872802734375
1580102035.6209679,6971,140.3218994140625
1580102096.762115,7355,136.52462768554688
1580102157.7790992,7743,132.23887634277344
1580102219.299178,8134,128.2897186279297
1580102280.6003375,8524,124.3219985961914
1580102342.425227,8909,121.85163116455078
1580102403.5194323,9295,118.51517486572266
1580102464.547065,9682,116.56224060058594
1580102525.524486,10068,114.19426727294922
1580102586.478427,10452,111.32185363769531
1580102647.567189,10841,109.24534606933594
1580102708.6252704,11227,107.5936508178711
1580102770.7667232,11617,105.59931945800781
1580102831.8757048,12006,104.62793731689453
1580102892.9200978,12393,102.44581604003906
1580102953.8769321,12778,101.01739501953125
1580103014.9350612,13166,99.62655639648438
1580103076.0357604,13551,97.83158874511719
1580103137.0562441,13936,97.03854370117188
1580103198.0779703,14321,95.09598541259766
1580103259.1641815,14714,93.89945983886719
1580103320.2776277,15103,93.33464813232422
1580103381.5609012,15490,91.72767639160156
1580103442.5413454,15878,90.60308074951172
1580103503.8025525,16265,89.52808380126953
1580103565.3686697,16651,89.40345764160156
1580103626.814254,17039,87.94218444824219
1580103688.2742517,17425,87.10385131835938
1580103748.8510406,17809,86.15592193603516
1580103810.0017223,18196,84.86344146728516
1580103871.1255345,18587,84.595458984375
1580103931.6264443,18969,83.84530639648438
1580103992.652121,19357,83.5938949584961
1580104053.7783804,19747,82.59410858154297
1580104114.3876243,20135,82.05995178222656
1580104175.477864,20524,81.39708709716797
1580104236.5546775,20914,81.37686920166016
1580104297.7031255,21297,80.0758056640625
1580104358.2333405,21682,79.31173706054688
1580104419.9922228,22069,78.79672241210938
1580104481.1976466,22460,79.19578552246094
1580104542.878952,22853,78.31000518798828
1580104604.5030823,23244,77.85043334960938
1580104666.2672904,23632,77.04115295410156
1580104727.9714692,24020,76.85568237304688
1580104789.6739306,24410,76.32081604003906
1580104851.3064468,24798,76.29039764404297
1580104913.060691,25184,75.6107177734375
1580104974.831845,25571,75.03641510009766
1580105036.6227388,25957,74.57242584228516
1580105098.213904,26343,73.84273529052734
1580105159.9479995,26731,73.62468719482422
1580105221.6393652,27119,73.84587097167969
1580105283.3559105,27502,72.9510498046875
1580105345.5372734,27888,72.39582824707031
1580105407.2940688,28273,72.31729125976562
1580105469.5045836,28655,72.00372314453125
1580105531.3637176,29044,71.66552734375
1580105593.4966488,29432,71.23676300048828
1580105655.152689,29820,71.63043975830078
1580105716.8875482,30210,70.82431030273438
1580105778.7407618,30598,70.23424530029297
1580105840.5991495,30984,69.90443420410156
1580105903.3327165,31370,69.7030029296875
1580105965.4871306,31760,69.44224548339844
1580106027.3915598,32143,69.47096252441406
1580106089.4982743,32530,69.42578887939453
1580106151.3111584,32918,68.5683364868164
1580106213.2559652,33305,68.71531677246094
1580106275.0509481,33689,68.55875396728516
1580106336.8891642,34075,68.04933166503906
1580106398.614722,34462,67.65029907226562
1580106460.6455338,34846,66.88951110839844
1580106522.3428206,35232,67.5832290649414
1580106584.060889,35616,67.11074829101562
1580106645.829843,36004,66.76229095458984
1580106707.543185,36388,66.74815368652344
1580106769.3238242,36773,66.73294067382812
1580106831.6985269,37160,66.16364288330078
1580106893.4439344,37543,65.92377471923828
1580106955.1859903,37932,65.86585235595703
1580107017.0994947,38321,65.82682037353516
1580107078.8289776,38703,65.40064239501953
1580107140.581699,39089,65.47144317626953
1580107202.2790077,39478,65.09805297851562
1580107263.9529536,39868,65.4867172241211
1580107325.823862,40256,64.7380599975586
1580107387.583163,40644,64.45504760742188
1580107449.3888838,41034,64.53849029541016
1580107511.1190462,41418,64.20488739013672
1580107572.8997426,41807,64.18765258789062
1580107634.5481238,42194,64.29549407958984
1580107696.85478,42583,63.935638427734375
1580107758.60993,42970,63.71453857421875
1580107820.3601518,43355,63.64180374145508
1580107882.1271381,43742,63.35179901123047
1580107944.0893366,44129,63.25251007080078
1580108005.8804343,44516,63.21879196166992
1580108067.919676,44902,62.5030403137207
1580108130.0970614,45291,63.048831939697266
1580108191.9994383,45677,62.52417755126953
1580108253.8546765,46058,62.312232971191406
1580108315.5483906,46451,62.72589111328125
1580108377.6726027,46842,62.697566986083984
1580108439.8041046,47232,62.422611236572266
1580108501.516905,47623,62.14900588989258
1580108563.434704,48009,61.92315673828125
1580108625.3371706,48393,61.6667366027832
1580108687.245202,48781,61.517608642578125
1580108749.3596013,49173,61.60536193847656
1580108811.1254964,49560,61.694828033447266
1580108872.9800348,49950,61.24175262451172
1580108935.210386,50336,61.22545623779297
1580108997.0602095,50720,60.97413635253906
1580109058.9799907,51109,61.24732971191406
1580109120.8268476,51497,60.517059326171875
1580109182.607077,51885,60.69160079956055
1580109244.3598099,52269,60.67961883544922
1580109307.269128,52658,61.077510833740234
1580109369.616617,53048,60.04204177856445
1580109431.7263486,53436,60.54618835449219
1580109494.1409194,53826,60.28069305419922
1580109555.9424903,54210,60.09357833862305
1580109618.1575406,54591,59.96091842651367
1580109680.4452014,54980,60.1009407043457
1580109742.671719,55367,59.98431396484375
1580109804.6394439,55751,59.91189956665039
1580109866.4275582,56139,59.23587417602539
1580109928.2730153,56528,59.66867446899414
1580109989.9305305,56914,59.42264175415039
1580110052.2426293,57297,59.700809478759766
1580110114.3995025,57681,59.254661560058594
1580110176.2853246,58068,58.79978942871094
1580110238.546982,58455,59.120697021484375
1580110300.2631006,58849,58.94272232055664
1580110362.0268497,59235,58.851688385009766
1580110423.8061333,59620,58.66755294799805
1580110485.4922976,60010,59.023338317871094
1580110547.2022285,60399,58.6304931640625
1580110609.0725825,60790,58.55474090576172
1580110670.8846142,61179,58.622802734375
1580110732.9375923,61567,58.62464904785156
1580110795.0578864,61955,58.44395446777344
1580110857.1917667,62340,58.538658142089844
1580110918.8950777,62729,57.89960479736328
1580110980.971893,63118,58.19578170776367
1580111042.822943,63503,57.791908264160156
1580111104.9586668,63889,58.06828308105469
1580111166.745838,64274,58.02385330200195
1580111228.419403,64659,57.7578239440918
1580111290.2267053,65051,57.90849685668945
1580111351.9941897,65443,57.6715087890625
1580111413.78429,65832,57.84735870361328
1580111475.6131668,66218,57.973541259765625
1580111537.3276029,66606,57.61573028564453
1580111599.0161417,66992,57.32668685913086
1580111660.769525,67378,57.379940032958984
1580111722.5269613,67764,57.24958801269531
1580111784.267674,68152,57.062355041503906
1580111846.3306077,68532,56.70427322387695
1580111908.1092942,68917,57.25952911376953
1580111970.2319677,69310,57.21863555908203
1580112031.8813508,69698,56.98311233520508
1580112093.6242018,70085,57.078495025634766
1580112156.8361278,70472,56.86185073852539
1580112218.4561305,70858,56.48225784301758
1580112280.2339542,71248,56.49925994873047
1580112342.0287397,71637,57.011436462402344
1580112404.2240052,72022,56.84745407104492
1580112465.8439054,72408,56.54030990600586
1580112527.5988953,72797,56.312843322753906
1580112589.4098523,73185,56.28328323364258
1580112652.0762963,73575,56.59507369995117
1580112713.737335,73965,56.63254928588867
1580112777.5846152,74347,56.162837982177734
1580112839.4390526,74738,56.36835479736328
1580112901.6917987,75123,56.329898834228516
1580112963.5266242,75509,56.131351470947266
1580113025.2072449,75901,56.054039001464844
1580113086.9147072,76286,56.0192985534668
1580113148.913604,76677,56.13019943237305
1580113210.7823536,77065,56.06625747680664
1580113272.9215038,77455,55.60604476928711
1580113336.0878994,77837,56.20018768310547
1580113398.1015258,78230,55.71647262573242
1580113459.8250897,78615,55.63243865966797
1580113521.5542178,79008,55.939796447753906
1580113583.330808,79398,55.6046142578125
1580113645.175049,79783,55.95775604248047
1580113706.9251788,80170,55.41208267211914
1580113768.604239,80562,55.597957611083984
1580113830.3014874,80950,55.426937103271484
1580113892.0461347,81335,55.56167221069336
1580113953.852988,81725,55.4893798828125
1580114015.9026017,82110,55.149688720703125
1580114077.5878909,82495,55.17223358154297
1580114139.3824778,82881,55.33526611328125
1580114202.8712704,83269,54.93012237548828
1580114264.5696738,83656,55.00131607055664
1580114326.3183892,84044,55.22477722167969
1580114388.594626,84436,55.10670471191406
1580114450.6801388,84825,54.8972282409668
1580114512.6982431,85212,54.79093551635742
1580114574.6280413,85599,55.07646560668945
1580114636.3128092,85985,55.09650802612305
1580114698.056322,86369,54.77220153808594
1580114759.873045,86756,54.49933624267578
1580114822.327321,87145,54.96405792236328
1580114884.0784569,87533,54.5798225402832
1580114945.9006639,87918,54.86249923706055
1580115007.6188421,88307,54.690975189208984
1580115069.3978636,88696,54.3890380859375
1580115131.2466843,89081,54.79326248168945
1580115192.8560724,89470,54.512489318847656
1580115256.8416488,89856,54.25809097290039
1580115318.5989742,90238,54.19565200805664
1580115380.298511,90626,54.4012451171875
1580115442.064343,91013,54.39345932006836
1580115504.1460793,91398,54.441184997558594
1580115566.0369916,91786,54.42410659790039
1580115627.682587,92170,54.13505172729492
1580115689.358159,92555,53.93882369995117
1580115751.1885703,92940,54.33341598510742
1580115813.4344056,93331,53.95730972290039
1580115875.1501565,93718,53.794864654541016
1580115937.19415,94104,54.00552749633789
1580115999.749623,94490,53.834449768066406
1580116062.413637,94879,53.741912841796875
1580116124.1832876,95266,53.970176696777344
1580116186.4943962,95655,53.97712707519531
1580116248.403292,96043,53.968528747558594
1580116310.1078324,96428,53.53407669067383
1580116371.9016252,96814,53.5255241394043
1580116433.9023738,97202,53.573753356933594
1580116495.7109666,97590,53.807498931884766
1580116557.7105274,97976,53.76554870605469
1580116621.076283,98361,53.85343933105469
1580116683.098898,98748,53.290283203125
1580116745.0050468,99136,53.667293548583984
1580116806.824881,99524,53.64711380004883
1580116868.5330832,99914,53.51254653930664
1580116930.2548141,100300,53.37030792236328
1580116992.039122,100686,53.5314826965332
1580117053.8373628,101073,53.30044937133789
1580117118.195387,101463,53.656402587890625
1580117179.9705174,101847,53.3814697265625
1580117241.696228,102238,53.4478645324707
1580117303.8888187,102623,53.54043197631836
1580117365.5457406,103011,53.250091552734375
1580117427.2400606,103398,53.15166473388672
1580117488.9782977,103785,52.76686096191406
1580117550.7967856,104173,53.394161224365234
1580117612.814318,104562,53.34423828125
