Wall time,Step,Value
1578918418.573059,473,698.1354370117188
1578919514.3727605,946,367.3177490234375
1578920601.0514214,1419,282.0763244628906
1578921698.0725937,1892,229.3223114013672
1578922792.8744178,2365,195.97581481933594
1578923879.0549884,2838,171.14450073242188
1578924973.4572964,3311,153.1940460205078
1578926070.3782651,3784,138.9091033935547
1578927157.2942588,4257,128.4649200439453
1578928254.5052485,4730,119.34465026855469
1578929342.5563846,5203,112.34326934814453
1578930436.950082,5676,106.12654876708984
1578931531.346292,6149,100.86128997802734
1578932620.5739515,6622,96.52029418945312
1578933719.8693936,7095,92.23625183105469
1578934818.0641906,7568,89.21794891357422
1578935903.8057435,8041,86.2484359741211
1578936995.2878704,8514,82.73860168457031
1578938086.4593642,8987,80.16830444335938
1578939170.8460684,9460,77.62832641601562
1578940263.3208423,9933,75.12480163574219
1578941348.6374488,10406,73.48564147949219
1578942442.1064074,10879,71.79598236083984
1578943533.504542,11352,69.80119323730469
1578944617.0644608,11825,68.40760803222656
1578945710.260782,12298,66.98515319824219
1578946804.0100133,12771,65.75066375732422
1578947888.794589,13244,64.12567138671875
1578948980.3750563,13717,63.22426986694336
1578950074.2926598,14190,61.95405197143555
1578951157.995891,14663,61.070579528808594
1578952253.0506384,15136,60.04779815673828
1578953341.172493,15609,58.761470794677734
1578954438.9390197,16082,58.45506286621094
1578955532.5022066,16555,57.41132736206055
1578956619.0292401,17028,56.43251037597656
1578957715.0593867,17501,55.460514068603516
1578958812.804532,17974,54.982276916503906
1578959901.3499105,18447,54.28343200683594
1578960997.5757737,18920,53.684844970703125
1578962094.0292406,19393,52.927978515625
1578963182.807269,19866,52.321468353271484
1578964281.0585644,20339,51.81729507446289
1578965370.3144188,20812,51.23367691040039
1578966469.8127286,21285,50.78219985961914
1578967567.0521774,21758,50.04658126831055
1578968656.0030265,22231,49.61116027832031
1578969753.0489292,22704,49.04725646972656
1578970854.211704,23177,48.854034423828125
1578971944.313066,23650,48.21604919433594
1578973045.506814,24123,47.90830993652344
1578974144.4207783,24596,47.346256256103516
1578975232.394572,25069,47.061248779296875
1578976331.0901568,25542,46.64319610595703
1578977422.981293,26015,46.31916427612305
1578978524.8809547,26488,45.634822845458984
1578979624.9472022,26961,45.6685905456543
1578980716.5108051,27434,44.97765350341797
1578981819.8333166,27907,44.90169906616211
1578982924.1829991,28380,44.3299674987793
1578984015.4715598,28853,44.097557067871094
1578985116.0940957,29326,43.761146545410156
1578986221.0454974,29799,43.32025146484375
1578987311.4434972,30272,42.99739456176758
1578988413.493522,30745,42.66520309448242
1578989506.8313706,31218,42.45782470703125
1578990608.8453238,31691,42.247230529785156
1578991709.6970797,32164,41.795230865478516
1578992801.9861782,32637,41.7795524597168
1578993905.56202,33110,41.41521453857422
1578995009.2772145,33583,41.32362365722656
1578996101.590912,34056,40.80931854248047
1578997209.5266662,34529,40.57404327392578
1578998320.1715326,35002,40.365577697753906
1578999417.4538882,35475,40.299320220947266
1579000527.9384725,35948,40.00629425048828
1579001629.9781454,36421,39.71211242675781
1579002742.4663637,36894,39.54353713989258
1579005240.7651615,37367,39.024330139160156
1579006491.8655107,37840,39.10393142700195
1579007728.5369406,38313,38.69506072998047
1579008971.2942412,38786,38.5943489074707
1579010216.150685,39259,38.14609909057617
1579011453.1982617,39732,38.08235168457031
1579012698.0027184,40205,38.109066009521484
1579013943.7947142,40678,37.57969665527344
1579015179.4014726,41151,37.52866744995117
1579016422.8892736,41624,37.07011032104492
1579017658.590677,42097,36.9378547668457
1579018903.3539138,42570,36.67885971069336
1579020149.2580981,43043,36.528358459472656
1579021385.4461899,43516,36.42970657348633
1579022630.2366395,43989,36.13944625854492
1579023873.3460183,44462,36.19744110107422
1579025111.2694392,44935,36.12959671020508
1579026357.317088,45408,35.77593231201172
1579027603.0566883,45881,35.60147476196289
1579028839.4981527,46354,35.39850616455078
1579030084.3053215,46827,35.09800720214844
1579031323.08746,47300,35.20873260498047
1579032569.8700109,47773,35.009525299072266
1579033816.6192539,48246,34.791282653808594
1579035056.6809876,48719,34.771663665771484
1579036303.8318238,49192,34.59880447387695
1579037551.129134,49665,34.57163619995117
1579038789.583589,50138,34.20036697387695
1579040038.4455073,50611,34.271976470947266
1579041287.7507803,51084,34.033504486083984
1579042526.019525,51557,33.96263885498047
1579043773.323076,52030,33.87455749511719
1579045011.875708,52503,33.58917999267578
1579046259.403389,52976,33.723228454589844
1579047507.2918837,53449,33.44133758544922
1579048746.2647395,53922,33.286590576171875
1579049994.677278,54395,32.97492980957031
1579051242.7383206,54868,33.030792236328125
