Wall time,Step,Value
1580100997.5224645,387,1907.6697998046875
1580101058.472754,775,842.9046020507812
1580101119.1973116,1162,640.3851928710938
1580101180.0819092,1548,526.0331420898438
1580101241.1451077,1937,444.0597839355469
1580101301.958068,2321,386.8782958984375
1580101362.9468784,2703,346.2126770019531
1580101423.7820454,3095,317.2908630371094
1580101485.8875325,3481,292.3337707519531
1580101546.9553797,3866,271.9980163574219
1580101607.814744,4256,255.8144073486328
1580101668.7231154,4649,242.43978881835938
1580101729.8641865,5040,228.59246826171875
1580101791.3543854,5426,219.31985473632812
1580101852.1990407,5814,211.6320343017578
1580101913.433414,6200,203.76475524902344
1580101974.4769874,6589,197.17771911621094
1580102035.6192493,6971,190.0470428466797
1580102096.7609818,7355,184.9039764404297
1580102157.7782004,7743,179.10079956054688
1580102219.297678,8134,173.7519073486328
1580102280.5991292,8524,168.3782196044922
1580102342.4242363,8909,165.03219604492188
1580102403.5177844,9295,160.5130157470703
1580102464.5461514,9682,157.86810302734375
1580102525.523564,10068,154.6612091064453
1580102586.4773223,10452,150.77098083496094
1580102647.5663772,10841,147.95875549316406
1580102708.6245317,11227,145.72181701660156
1580102770.7657528,11617,143.02000427246094
1580102831.874749,12006,141.70460510253906
1580102892.919017,12393,138.7493438720703
1580102953.8755476,12778,136.8145294189453
1580103014.934124,13166,134.93057250976562
1580103076.0345721,13551,132.49952697753906
1580103137.0552773,13936,131.426025390625
1580103198.0768714,14321,128.7947235107422
1580103259.162973,14714,127.17388153076172
1580103320.2765234,15103,126.40922546386719
1580103381.560171,15490,124.23273468017578
1580103442.539712,15878,122.70991516113281
1580103503.8005702,16265,121.25374603271484
1580103565.3667839,16651,121.08512878417969
1580103626.813176,17039,119.10591888427734
1580103688.2731516,17425,117.97016906738281
1580103748.8502014,17809,116.68671417236328
1580103810.0008423,18196,114.93599700927734
1580103871.1242192,18587,114.57316589355469
1580103931.6257377,18969,113.55767822265625
1580103992.6508105,19357,113.21673583984375
1580104053.7778032,19747,111.86265563964844
1580104114.3862255,20135,111.13953399658203
1580104175.4765897,20524,110.24124908447266
1580104236.5539575,20914,110.21411895751953
1580104297.701994,21297,108.45201110839844
1580104358.2322335,21682,107.41738891601562
1580104419.9913287,22069,106.72013092041016
1580104481.1962433,22460,107.26028442382812
1580104542.8781784,22853,106.06062316894531
1580104604.5021431,23244,105.43829345703125
1580104666.2662597,23632,104.34142303466797
1580104727.9704514,24020,104.09107971191406
1580104789.6729732,24410,103.36627960205078
1580104851.3051944,24798,103.3248291015625
1580104913.0599117,25184,102.4048843383789
1580104974.830416,25571,101.62689208984375
1580105036.621946,25957,100.99846649169922
1580105098.212574,26343,100.00985717773438
1580105159.946514,26731,99.71478271484375
1580105221.6383564,27119,100.01453399658203
1580105283.3551364,27502,98.80252075195312
1580105345.5362835,27888,98.05046081542969
1580105407.293243,28273,97.94390106201172
1580105469.5033872,28655,97.51921081542969
1580105531.3623884,29044,97.06112670898438
1580105593.4956203,29432,96.48079681396484
1580105655.1519046,29820,97.01406860351562
1580105716.8867128,30210,95.92222595214844
1580105778.7394912,30598,95.12293243408203
1580105840.5982175,30984,94.67646789550781
1580105903.3312228,31370,94.40333557128906
1580105965.4863575,31760,94.05062866210938
1580106027.3903115,32143,94.08907318115234
1580106089.497392,32530,94.02761840820312
1580106151.3094742,32918,92.86689758300781
1580106213.2548754,33305,93.06587219238281
1580106275.0501873,33689,92.85383605957031
1580106336.8884478,34075,92.16357421875
1580106398.6136637,34462,91.62340545654297
1580106460.6447291,34846,90.59300994873047
1580106522.3415565,35232,91.53230285644531
1580106584.0599012,35616,90.89238739013672
1580106645.8291247,36004,90.4205322265625
1580106707.5417907,36388,90.40148162841797
1580106769.3221965,36773,90.38087463378906
1580106831.6975317,37160,89.60967254638672
1580106893.4429557,37543,89.28496551513672
1580106955.1848707,37932,89.20626831054688
1580107017.0982668,38321,89.15345001220703
1580107078.827923,38703,88.57640838623047
1580107140.5804913,39089,88.6722640991211
1580107202.2780695,39478,88.1667251586914
1580107263.9519556,39868,88.69281768798828
1580107325.8228657,40256,87.67882537841797
1580107387.5823762,40644,87.29593658447266
1580107449.3878195,41034,87.4087905883789
1580107511.1181817,41418,86.9568862915039
1580107572.8986182,41807,86.93354034423828
1580107634.5466235,42194,87.07959747314453
1580107696.8534777,42583,86.59259033203125
1580107758.6087506,42970,86.29277038574219
1580107820.3594809,43355,86.19409942626953
1580107882.1252062,43742,85.80152893066406
1580107944.0886497,44129,85.6669692993164
1580108005.879096,44516,85.62155151367188
1580108067.917842,44902,84.6520767211914
1580108130.0945418,45291,85.39156341552734
1580108191.9986703,45677,84.68046569824219
1580108253.853894,46058,84.39353942871094
1580108315.5474222,46451,84.95401763916016
1580108377.671177,46842,84.91561889648438
1580108439.802462,47232,84.5429458618164
1580108501.5151687,47623,84.1725845336914
1580108563.433596,48009,83.8668212890625
1580108625.3357382,48393,83.51921844482422
1580108687.2443445,48781,83.3175277709961
1580108749.3587763,49173,83.4359359741211
1580108811.1242673,49560,83.55754852294922
1580108872.978937,49950,82.9439468383789
1580108935.2092776,50336,82.92152404785156
1580108997.0592144,50720,82.58170318603516
1580109058.9791625,51109,82.95138549804688
1580109120.8256855,51497,81.96233367919922
1580109182.6056933,51885,82.19888305664062
1580109244.3588417,52269,82.1826171875
1580109307.2669752,52658,82.72154998779297
1580109369.6150477,53048,81.31890869140625
1580109431.7251325,53436,82.00177764892578
1580109494.1394541,53826,81.64208984375
1580109555.9416475,54210,81.38874053955078
1580109618.1565394,54591,81.20915222167969
1580109680.443525,54980,81.39871978759766
1580109742.6696563,55367,81.24072265625
1580109804.6380632,55751,81.14268493652344
1580109866.4265757,56139,80.22702026367188
1580109928.2720935,56528,80.81311798095703
1580109989.9286697,56914,80.47978210449219
1580110052.2409933,57297,80.85659790039062
1580110114.3986485,57681,80.25276947021484
1580110176.2843504,58068,79.636474609375
1580110238.545902,58455,80.07087707519531
1580110300.2617245,58849,79.82987213134766
1580110362.0256243,59235,79.7068099975586
1580110423.8048055,59620,79.4574203491211
1580110485.491714,60010,79.93909454345703
1580110547.2012815,60399,79.40726470947266
1580110609.071198,60790,79.30477905273438
1580110670.8834524,61179,79.39673614501953
1580110732.9367902,61567,79.39897155761719
1580110795.0563548,61955,79.15462493896484
1580110857.1908398,62340,79.28285217285156
1580110918.8938231,62729,78.41719055175781
1580110980.971017,63118,78.81816864013672
1580111042.8215458,63503,78.27143859863281
1580111104.957449,63889,78.64582824707031
1580111166.744928,64274,78.58554077148438
1580111228.4182887,64659,78.22505187988281
1580111290.2258763,65051,78.42922973632812
1580111351.9932156,65443,78.10833740234375
1580111413.783421,65832,78.34668731689453
1580111475.6123364,66218,78.51750946044922
