Wall time,Step,Value
1580099419.0246923,473,793.4171142578125
1580100502.743377,946,406.1860046386719
1580101580.627142,1419,309.16436767578125
1580102663.7189186,1892,256.3306884765625
1580103748.4566898,2365,219.74960327148438
1580104826.1310546,2838,194.23635864257812
1580105914.27437,3311,176.9663543701172
1580107000.7446272,3784,161.9747772216797
1580108080.9365869,4257,150.86160278320312
1580109166.0985708,4730,141.0922393798828
1580110241.9428635,5203,133.67491149902344
1580111325.8078601,5676,126.84081268310547
1580112409.819935,6149,121.03269958496094
1580113487.0793715,6622,116.25852966308594
1580114571.623756,7095,111.62439727783203
1580115656.0034235,7568,108.10740661621094
1580116733.2674005,8041,104.91661071777344
1580117817.8148122,8514,100.8702621459961
1580118899.7776885,8987,97.92396545410156
1580119973.3071816,9460,95.19757843017578
1580121055.5907633,9933,92.29842376708984
1580122130.7265275,10406,90.47283935546875
1580123213.1998744,10879,88.54823303222656
1580124295.1748664,11352,86.25825500488281
1580125369.892187,11825,84.57376098632812
1580126453.4751546,12298,82.98314666748047
1580127536.884186,12771,81.47915649414062
1580128612.3761299,13244,79.50880432128906
