Wall time,Step,Value
1578918418.5775816,473,878.3675537109375
1578919514.379103,946,461.0264892578125
1578920601.0625076,1419,354.021484375
1578921698.0820212,1892,287.8141784667969
1578922792.884784,2365,245.9803009033203
1578923879.065684,2838,214.8231658935547
1578924973.4682605,3311,192.29275512695312
1578926070.3853488,3784,174.37046813964844
1578927157.308561,4257,161.25454711914062
1578928254.5130389,4730,149.81036376953125
1578929342.5625703,5203,141.01905822753906
1578930436.9587898,5676,133.22052001953125
1578931531.3555698,6149,126.60641479492188
1578932620.5833867,6622,121.16217041015625
1578933719.8789558,7095,115.7909927368164
1578934818.0742772,7568,111.99739837646484
1578935903.815657,8041,108.26545715332031
1578936995.3031375,8514,103.87216186523438
1578938086.4718535,8987,100.6387939453125
1578939170.8605843,9460,97.45059967041016
1578940263.3265035,9933,94.30689239501953
1578941348.6475542,10406,92.24816131591797
1578942442.1160467,10879,90.12915802001953
1578943533.511013,11352,87.6257095336914
1578944617.0755136,11825,85.87606048583984
1578945710.2745748,12298,84.08545684814453
1578946804.01966,12771,82.54198455810547
1578947888.8040862,13244,80.49543762207031
1578948980.383587,13717,79.368408203125
1578950074.3065684,14190,77.76931762695312
1578951158.0084963,14663,76.65996551513672
1578952253.0598147,15136,75.37449645996094
1578953341.1860802,15609,73.76608276367188
1578954438.9480274,16082,73.37604522705078
1578955532.5100741,16555,72.06572723388672
1578956619.0375237,17028,70.84125518798828
1578957715.069876,17501,69.61669921875
1578958812.8185337,17974,69.01581573486328
1578959901.359312,18447,68.13764190673828
1578960997.589397,18920,67.38961029052734
1578962094.0447462,19393,66.4371109008789
1578963182.8182595,19866,65.67513275146484
1578964281.082385,20339,65.03929138183594
1578965370.3323777,20812,64.3090591430664
1578966469.8226194,21285,63.74258804321289
1578967567.0583467,21758,62.81847381591797
1578968656.0102355,22231,62.27095413208008
1578969753.0580919,22704,61.56330871582031
1578970854.219349,23177,61.32280349731445
1578971944.325667,23650,60.518898010253906
1578973045.5163202,24123,60.13375473022461
1578974144.4378412,24596,59.42751693725586
1578975232.4035785,25069,59.0700569152832
1578976331.1031218,25542,58.54331970214844
1578977422.9919841,26015,58.13799285888672
1578978524.890886,26488,57.27811813354492
1578979624.9585795,26961,57.320701599121094
1578980716.5266702,27434,56.453216552734375
1578981819.8482668,27907,56.3554801940918
1578982924.1888652,28380,55.639915466308594
1578984015.4788823,28853,55.34622573852539
1578985116.1017568,29326,54.92586898803711
1578986221.062196,29799,54.37021255493164
1578987311.4520075,30272,53.96760559082031
1578988413.511515,30745,53.54856491088867
1578989506.8465838,31218,53.28824996948242
1578990608.858666,31691,53.022640228271484
1578991709.706778,32164,52.456783294677734
1578992801.993184,32637,52.43499755859375
1578993905.569287,33110,51.97738265991211
1578995009.287053,33583,51.86293411254883
1578996101.5987697,34056,51.21632766723633
1578997209.5415971,34529,50.923160552978516
1578998320.1790297,35002,50.65744400024414
1578999417.470024,35475,50.57781219482422
1579000527.9530478,35948,50.208927154541016
1579001629.988047,36421,49.838706970214844
1579002742.4755652,36894,49.62522888183594
1579005240.784408,37367,48.97758102416992
1579006491.879469,37840,49.07686233520508
1579007728.546975,38313,48.560874938964844
1579008971.3086457,38786,48.43458557128906
1579010216.1581151,39259,47.87158966064453
1579011453.2330058,39732,47.79277801513672
1579012698.0111861,40205,47.82538986206055
1579013943.8050172,40678,47.16153335571289
1579015179.4140012,41151,47.09719467163086
1579016422.905466,41624,46.52206039428711
1579017658.5992165,42097,46.354366302490234
1579018903.3691204,42570,46.02955627441406
1579020149.268435,43043,45.840057373046875
1579021385.4566898,43516,45.7169303894043
1579022630.249718,43989,45.35311508178711
1579023873.3538325,44462,45.42461395263672
1579025111.2785618,44935,45.33802032470703
1579026357.3241405,45408,44.89884948730469
1579027603.0671349,45881,44.676597595214844
1579028839.5124464,46354,44.421653747558594
1579030084.3138115,46827,44.04349899291992
1579031323.0968034,47300,44.18135452270508
1579032569.8802738,47773,43.93328857421875
1579033816.6294444,48246,43.65981674194336
1579035056.6972723,48719,43.63394546508789
1579036303.841625,49192,43.41663360595703
1579037551.1479037,49665,43.3827018737793
1579038789.5943007,50138,42.91655349731445
1579040038.457936,50611,43.006649017333984
1579041287.7579384,51084,42.7060432434082
1579042526.0323122,51557,42.61674118041992
1579043773.3285787,52030,42.50590133666992
1579045011.8883488,52503,42.1488151550293
1579046259.4139688,52976,42.31670379638672
1579047507.3090727,53449,41.962039947509766
1579048746.2736666,53922,41.76936340332031
1579049994.7051275,54395,41.376434326171875
1579051242.742679,54868,41.44511032104492
